1900,16550
1901,17838
1902,19242
1903,20702
1904,22145
1905,23697
1906,25308
1907,26956
1908,28708
1909,30487
1910,32311
1911,34188
1912,36101
1913,37920
1914,39880
1915,41820
1916,43805
1917,45679
1918,47520
1919,49114
1920,51096
1921,53242
1922,55296
1923,56770
1924,57455
1925,57601
1926,57627
1927,57636
1928,57638
1929,57638
1930,57637
1931,57637
1932,57637
1933,57637
1934,57637
1935,57637
1936,57637
1937,57637
1938,57636
1939,57634
1940,57631
1941,57627
1942,57622
1943,57619
1944,57614
1945,57595
1946,57583
1947,57574
1948,57560
1949,57549
1950,57532
1951,57508
1952,57485
1953,57451
1954,57412
1955,57369
1956,57307
1957,57241
1958,57191
1959,57124
1960,57040
1961,56954
1962,56837
1963,56454
1964,55613
1965,54736
1966,53735
1967,52617
1968,51469
1969,50203
1970,48946
1971,47624
1972,46345
1973,44891
1974,43502
1975,42054
1976,40659
1977,39276
1978,37857
1979,36425
1980,35063
1981,33663
1982,32197
1983,30771
1984,29248
1985,27771
1986,26236
1987,24674
1988,23191
1989,21757
1990,20376
1991,19002
1992,17630
1993,16305
1994,15052
1995,13720
1996,12456
1997,11192
1998,9876
1999,8594
2000,7400
